Customer Review,Emotion
alhamdulillah berfungsi baik packaging aman respon cepat ramah seller kurir amanah,2
barang bagus respon cepat harga bersaing,2
barang bagus berfungsi baik seler ramah pengiriman cepat,2
bagus sesuai harapan penjual nya ramah terima kasih pelapak,2
barang bagus pengemasan aman berfungsi baik,2
barang bagus seller ramah,2
mantap paten joss,2
works fine respon seller cepat barang berfungsi baik recommended,2
barang bagus segel utuh original berfungsi seller respon nya hebat cepat amir kasih sarannya pas kebutuhan mantabbb,2
barang berfungsi baik bagus kali lampu birunya,2
pengiriman super cepat barang bagus recommended seller terima kasih,2
alhamdulillah barangnya coba bagus semoga awet terima kasih seller kurir tokopedia,2
penjual amanah responsif kabel berfungsi baik pengiriman cepat terima kasih,2
alhamdulillah barang dipakai semoga berfungsi baik awet kurirnya baik semoga rezekinya lancar,2
bagus berjalan baik silent kokoh muat laptop inch,2
packing aman pengiriman cepat barang berfungsi baik,2
produknya baik kualitasny good produk konsumen kondisi baik sesuai sih harga sok overall good,2
barang ya juragan berfungsi terima kasih,2
barang mantap sesuai deskripsi laptop adem sejuk,2
produk terima kondisi baik terima kasih,2
belanja kalinya puas pengiriman lumayan cepat overall bagus,2
kualitas barang bagus harga relatif murah kiriman super cepat response penjual baik recommended seller bintang terima kasih ya semoga sukses usaha nya amin,2
mantap barang nya oke,2
pengiriman cepat packing rapi kualitas mantap,2
silent bagus pekerjaan ringan,2
barang cepat kualitas bagus pengiriman aman tidak pecah manstapu,2
bagus berkualitas sesuai gambar terima kasih seller tokped kurir,2
mantap kipasnya kencang barangnya berkualitas sesuai harga,2
mantap proses pengerjaan pengiriman barang sesuai deskripsi,2
mantap kipasnya kencang barangnya berkualitas sesuai harga,2
penjualnya ramah melayani pembeli sabar saran pembeli tidak mantap,2
barang cepat packingnya rapi tidak acrylic pecah berfungsi baik semoga awet,2
presisi pas,2
puas seller helpfull responsif cepat nya recomended,2
mantappp responnya memuaskan dicoba dipasang presisi nyaman cas responsif,2
mantap barangnya cepat enak digunainnya,2
barang bagus oke cepat pengirimannya,2
pengiriman cepat seller responsif,2
barang berfungsi baik pemilik toko responsif membantu kendala sukses tokonya ya juragan,2
seller packing baik pengiriman cepat nya barang sesuai deskripsi berfungsi terima kasih,2
kecewa scroll rusak,4
jelek orisinal mousepad tidak dipakai charger getar parah barang tidak sesui foto barang lapak sebelah harga rban beli bagus persis surat pemberitahuan tahunan foto indikator ujung charger order mahal barangnya tidak order,4
tidak pakai,4
kecewa parah tidak berkah jualan,4
kecewa penjual tidak tanggung komplain berhari tidak solusi,4
pas beli tipe macbook pro inch variasi nya penjualnya new pro pas casing kekecilan salah tipe penjual pakai alasan tidak tanggung salah ya ngejual kecewa tidak beli tidak tanggung,4
barang kota casing mudah lepas jujur mengecewakan,4
kecewa belanja pesan dikirim,4
tidak tissue pembersih alat bantuan memasang kecewa,4
salah beli barang toko tidak kompromi barang disegel kecewa deh,4
data error hilang,4
kecewa toko official tidak pesenan tidak dikonfirmasi batalin sistem tidak direspon pesanan disuruh pesan tokonya dikonfirmasi tidak dikirim tinggal menit dibatalkan sistem untungnya gara chat rekan tokopedia barang dikirim didetik tidak situ payahnya barang diambil kurir tanggal pickup barang kurir proses kirim lemot memuter rumah tanggal jam malam paketnya,4
packing seadanya bubble selapis ditambah lapisan plastik hasilnya barang diterima patah,4
mic tidak nyala,4
kartu sekolah dasar nya gb official mksofficial kecewa tidak original,4
kecepatan tidak sesuai deskripsi,4
tidak berfugsi,4
tikus kurang bagus pointer nya gerak gerak,4
infra red nya jelek suka mental,4
baterai tidak sesuai ukuran tidak nano receiver,4
boros baterai,4
barang error,4
jaringanya ngelek lelet mending pakai indihome deh menyesal beli orbit jaringan ya parah,4
tidak sesuai ekspektasi,4
lambat,4
paket gb regiatrasi mb,4
tidak register call center tim orbin tidak helpful info gerai orbin buka no telepon suruh cari google tidak cari nomor telepon tidak hubungin salahnya info valid menyesal beli orbit call center tim orbin tidak helpful info gerai orbin buka no telepon suruh cari google tidak cari nomor telepon tidak hubungin salahnya info valid menyesal beli orbit,4
tidak sesuai,4
janji kirim instan pakai tutup toko kirim paket malam pas besoknya coba solid state drive nya tidak terbaca bilangnya kirim toko agarnbisa kirim tangerang ongkos gojek instan ribu tidak kirim sampaiiii minggu kirim sengaja in tidak profesional berjualan online jual barang rusak tidak etikat ucapan maaf penutup anggap licik pelit ongkos kirim nya suruh tanggung pas barang lihat lupakan garansi produk ganti rusak,4
beli solid state drive diterima kondisi rusak,4
tidak berfungsi ya ditambah daya pakai mikro usb cas handphone tidak,4
kurang bagus colok hardisk external tidak terdeteksi,4
