Customer Review,Emotion
alhamdulillah fungsi baik packaging aman respon cepat ramah seller kurir amanah,2
barang bagus respon cepat harga saing,2
barang bagus fungsi baik seler ramah kirim cepat,2
bagus sesuai harap jual nya ramah terima kasih lapak,2
barang bagus emas aman fungsi baik,2
barang bagus seller ramah,2
mantap paten joss,2
works fine respon seller cepat barang fungsi baik recommended,2
barang bagus segel utuh original fungsi seller respon nya hebat cepat amir kasih saran pas butuh mantabbb,2
barang fungsi baik bagus kali lampu biru,2
kirim super cepat barang bagus recommended seller terima kasih,2
alhamdulillah barang coba bagus moga awet terima kasih seller kurir tokopedia,2
jual amanah responsif kabel fungsi baik kirim cepat terima kasih,2
alhamdulillah barang pakai moga fungsi baik awet kurir baik moga rezeki lancar,2
bagus jalan baik silent kokoh muat laptop inch,2
packing aman kirim cepat barang fungsi baik,2
produk baik kualitasny good produk konsumen kondisi baik sesuai sih harga sok overall good,2
barang ya juragan fungsi terima kasih,2
barang mantap sesuai deskripsi laptop adem sejuk,2
produk terima kondisi baik terima kasih,2
belanja kali puas kirim lumayan cepat overall bagus,2
kualitas barang bagus harga relatif murah kirim super cepat response jual baik recommended seller bintang terima kasih ya moga sukses usaha nya amin,2
mantap barang nya oke,2
kirim cepat packing rapi kualitas mantap,2
silent bagus kerja ringan,2
barang cepat kualitas bagus kirim aman tidak pecah manstapu,2
bagus kualitas sesuai gambar terima kasih seller tokped kurir,2
mantap kipas kencang barang kualitas sesuai harga,2
mantap proses kerja kirim barang sesuai deskripsi,2
mantap kipas kencang barang kualitas sesuai harga,2
jual ramah layan beli sabar saran beli tidak mantap,2
barang cepat packingnya rapi tidak acrylic pecah fungsi baik moga awet,2
presisi pas,2
puas seller helpfull responsif cepat nya recomended,2
mantappp responnya muas coba pasang presisi nyaman cas responsif,2
mantap barang cepat enak digunainnya,2
barang bagus oke cepat kirim,2
kirim cepat seller responsif,2
barang fungsi baik milik toko responsif bantu kendala sukses toko ya juragan,2
seller packing baik kirim cepat nya barang sesuai deskripsi fungsi terima kasih,2
kecewa scroll rusak,4
jelek orisinal mousepad tidak pakai charger getar parah barang tidak sesui foto barang lapak belah harga rban beli bagus persis surat pemberitahuan tahun foto indikator ujung charger order mahal barang tidak order,4
tidak pakai,4
kecewa parah tidak berkah jual,4
kecewa jual tidak tanggung komplain hari tidak solusi,4
pas beli tipe macbook pro inch variasi nya jual new pro pas casing kecil salah tipe jual pakai alas tidak tanggung salah ya ngejual kecewa tidak beli tidak tanggung,4
barang kota casing mudah lepas jujur kecewa,4
kecewa belanja pesan kirim,4
tidak tissue bersih alat bantu pasang kecewa,4
salah beli barang toko tidak kompromi barang segel kecewa deh,4
data error hilang,4
kecewa toko official tidak sen tidak konfirmasi batalin sistem tidak direspon pesan suruh pesan toko konfirmasi tidak kirim tinggal menit batal sistem untung gara chat rekan tokopedia barang kirim detik tidak situ payah barang ambil kurir tanggal pickup barang kurir proses kirim lot puter rumah tanggal jam malam paket,4
packing ada bubble selap tambah lapis plastik hasil barang terima patah,4
mic tidak nyala,4
kartu sekolah dasar nya gb official mksofficial kecewa tidak original,4
cepat tidak sesuai deskripsi,4
tidak berfugsi,4
tikus kurang bagus pointer nya gerak gerak,4
infra red nya jelek suka mental,4
baterai tidak sesuai ukur tidak nano receiver,4
boros baterai,4
barang error,4
jaringanya ngelek lelet mending pakai indihome deh sesal beli orbit jaring ya parah,4
tidak sesuai ekspektasi,4
lambat,4
paket gb regiatrasi mb,4
tidak register call center tim orbin tidak helpful info gerai orbin buka no telepon suruh cari google tidak cari nomor telepon tidak hubungin salah info valid sesal beli orbit call center tim orbin tidak helpful info gerai orbin buka no telepon suruh cari google tidak cari nomor telepon tidak hubungin salah info valid sesal beli orbit,4
tidak sesuai,4
janji kirim instan pakai tutup toko kirim paket malam pas besok coba solid state drive nya tidak baca bilang kirim toko agarnbisa kirim tangerang ongkos gojek instan ribu tidak kirim sampaiiii minggu kirim sengaja in tidak profesional jual online jual barang rusak tidak etikat ucap maaf tutup anggap licik pelit ongkos kirim nya suruh tanggung pas barang lihat lupa garansi produk ganti rusak,4
beli solid state drive terima kondisi rusak,4
tidak fungsi ya tambah daya pakai mikro usb cas handphone tidak,4
kurang bagus colok hardisk external tidak deteksi,4
tidak fungsi ya tambah daya pakai mikro usb cas handphone tidak,4
produk kurang baik rusak,4
kualitas merek cina p harga nya ribu an bagus merek ribu an kirim lambat official store pesan tanggal tanggal tidak zoom meeting pakai handphone kecewa produk layan logitech keyboard nya tikus nya bagus model nya kapok beli barang proses jam batal pesan nya,4
kirim lambat bilang langsung kirim habis order chat langsung tidak respon official store merek logitech sungguh kecewa,4
mousenya kurang responsif teken kuat,4
pakai sensor jelek suka mana,4
kecewa scroll rusak,4
tidak nyala baterai ganti tidak nyala kecewa x kerjain logitech,4
kecewa barang kirim tidak sesuai konfirmasi bolak kali tanggung x ongkos kirim kecewa,0
kualitas chargeran jelek banget pakai rusakk,0
layan toko jelek proses barang lambat chat tidak barang,0
barang rusak tidak parah,0
cepat rusak kadang konek kadang tidak,0
barang tidak kotak penyok,0
cek tidak utuh gb ya mana sisa gb nya mas mbak butuh ya beli beli,0
pesan tidak alamat uang terima pesan,0
beli kemas kirim kemas bintang kon lini,0
anjing palsu barang bangsat awas tipu oi asli segel distributor nya,0
barang beli,0
buruk,0
barang busuk pakai rusak klaim belit adminnya,0
chat tidak balas kuota janji gb nya tidak masuk hancur parah parah,0
tidak kasih adaptor gepeng nya tipu,0
jir hari pakai rusak quality control alah,0
solid state drive nya tidak pakai ganti,0
beli mahal ngeblur pakai zoom hubung rekan nya suruh klaim garansi alamat tidak kasih aduh webcam juta kualitas sampah,0
tidak sesuai gambar janggan percaya seller tipu kualitas jelek,0
tolong kirim tanggung paket habis renang comberan tidak isi pakai masuk bak sampah,0
l r trigger nya ampas,0
jelek,0
barang sampah tidak kirim alamat tong sampah kecewa admin tidak chat lihat barang kirim dead pixel layar monitor balik kecewa catat teman teman beli monitor tidak audio speakernya kualitas layar kurang baik rejeki bilah merek bagus sesal belanja tidak rekomendasi belanja,0
tidak jujur paksa barang jual barang kirim tidak sesuai pesan beli suruh kirim barang tidak solusi barang tidak risiko barang foto tawar tidak,0
beli tanggal pesan selesai tanggal tikus rusak tanggal tidak komplain toped admin ditanyain klaim garansi tidak bantu chat balas besok balas tidak,0
gue beli dapetnya v desc tidak jelas versi bagus v rgbnya rgb v red green blue sisa warna gaguna switch puller gadapet rgb redup tidak pemberitahuan versi keyboardnya kecewa kapok beli ambil v rt x v bagus kecewa gue jual pokok,0
belanja official store kondisi barang terima sampah barang rongsok terima kasih,0
kacau pesan tikus tidak lengkap tidak tutup baterai bluetoothnya,0
barang harga asli an seller sok sok an bikin diskon ribu diskon ribu olshop keras,0
salah beli tidak dituker pas coba tidak pas klaim garansi balas bot tahi,0
tidak puas baik produk layan barang cacat kondisi tutup meja tidak tutup rapat pasang engsel tidak sejajar pendek sebab listnya sobek paksa tutup daun meja fix nya cacat pabrik kirim komplain tidak terima toko jual suruh hubung kurir,0
quality barang jelek baut lepas,0
banyakk rusakk lecet nya,0
barang pesan bayar harga terima kasih tidak uh bukti cek keluar barang nya cek beli beli unboxing tidak habis in kuota,0
keyboard tidak nyala baterai coba kali tidak murah toko barang tidak bohong,0
barang rusak kirim,0
tidak nih meja utuh baut tidak pasang baut nya lem kacau nih,0
driver kacau toko barang oke pintar nama bengak gue kasih puas komen bintang satu driver,0
kecewa tidak selesai chat kg balas kg balas lari sampah,0
barang kirim salah pesan webcam logitech logitech official dikirimmya headphone jbl tukar barang butuh kerja sungguh,0
bagus keyboardnya packing aman double kardus warna keren,3
aaaa bagus kirim cepatt aman packaging nya nyala coba beli harga rupiah senengggbangett,3
terima kasihh bos mantappss moga lancarr berkah rezeki smngttt bos,3
barang buwaguusss sesuai pesan angin nya kencang angin puting beliung laptop ademmmm benerrr,3
